,State FIPS Code,County FIPS Code,year,population,age04,age59,age1014,age1519,age2024,age2529,age3034,age3539,age4044,age4549,age5054,age5559,age6064,age6569,age7074,age7579,age8084,age85plus
7053,18,23,1993,32254,0.071929063,0.07214609,0.080207106,0.068239598,0.061015688,0.066999442,0.077509766,0.079897067,0.070843926,0.05968252,0.050288336,0.04325045,0.041855274,0.043746512,0.039343957,0.03063186,0.021702735,0.02071061
7054,18,23,1994,32570,0.07178385,0.072459318,0.07979736,0.069542524,0.059932453,0.06604237,0.075990175,0.080718453,0.072305803,0.062327295,0.050967148,0.043444888,0.040773718,0.042523795,0.038593798,0.030242554,0.021829905,0.020724593
7055,18,23,1995,32848,0.071176327,0.073094252,0.07924379,0.071054554,0.058024842,0.066031417,0.074220653,0.081039942,0.073855334,0.064813687,0.051357769,0.042864101,0.040306868,0.041646371,0.037962737,0.030169264,0.022406235,0.020731856
7056,18,23,1996,33402,0.070235315,0.073229148,0.078408479,0.072600443,0.056224178,0.067480989,0.072091492,0.080863421,0.074995509,0.068019879,0.051044848,0.042811808,0.03990779,0.041045446,0.036943896,0.030447279,0.022783067,0.020867014
7057,18,23,1997,33716,0.070470993,0.074623324,0.078330763,0.073792858,0.056234429,0.067860956,0.069076996,0.080051014,0.076224938,0.067416064,0.053950647,0.043006288,0.039565785,0.039654763,0.03565073,0.030667932,0.022659865,0.020761656
7058,18,23,1998,33833,0.070434191,0.075458872,0.077971212,0.074394822,0.057636036,0.0670647,0.066798688,0.079153489,0.076907162,0.067921851,0.054532557,0.043921615,0.040049656,0.038069341,0.035024976,0.030768776,0.022965744,0.020926315
7059,18,23,1999,33642,0.070447655,0.076125082,0.078265264,0.074519945,0.059241424,0.065364723,0.065513346,0.077641044,0.077195173,0.069139766,0.055733904,0.043844005,0.040604007,0.037215386,0.033915938,0.031032638,0.023006956,0.021193746
7060,18,25,1990,9919,0.069261014,0.071983063,0.078939409,0.078435326,0.066337332,0.070067547,0.079141042,0.076620627,0.067547132,0.055751588,0.05181974,0.045065027,0.048190342,0.043855227,0.0321605,0.029438451,0.021574756,0.013811876
7061,18,25,1991,9882,0.068103623,0.07124064,0.079639749,0.074074074,0.06729407,0.068103623,0.078627808,0.078324226,0.070633475,0.056567496,0.052418539,0.044930176,0.047965999,0.043715847,0.033292856,0.029649868,0.021048371,0.014369561
7062,18,25,1992,9989,0.067574332,0.070077085,0.079987987,0.072880168,0.068074882,0.066573231,0.076984683,0.079787767,0.070877966,0.061868055,0.054059465,0.045249775,0.047251977,0.042646912,0.03323656,0.028731605,0.019721694,0.014415857
